titulo;url;materiais;abreviacoes;receita;origem
AMIGURUMI ZEBRA DOLL FREE CROCHET PATTERN;https://www.alwaysfreeamigurumi.com/amigurumi-zebra-doll-free-crochet-pattern/;"Materials
– Yarnart Jeans (white)
N2 53 (black)
N2 36 (light pink)
– Hook 1.9 mm.
– Filler
– Eyes 8 mm.
– Row start marker
– Needle for stitching details
– A piece of cardboard for a handbag
-ScissorsAmigurumi subscription box
Note: we insert the eyes between the 17th and 18th rows, the distance between them is 7 sc.";Abbreviations;"Designer: kris_shevtsova_

Hi there...
One of the free amigurumi crochet patterns we will share today is the amigurumi zebra  doll, whose photos and design belong to kris_shevtsova_ You can learn how to crochet this zebra doll using the free amigurumi pattern.
If you don’t know how to often crochet and  needles, read our shares. Start your knitting according to the rate you have according to the shape you will make. Shape your toy by increasing and decreasing the point. Once you weave the shape you want to fill the inside of your toy and look at the pictures to decorate.
Amigurumi cats, amigurumi dolls, amigurumi dogs, amigurumi unicorns, amigurumi lambs, amigurumi dinosaurs, amigurumi foxes, amigurumi bears, amigurumi giraffes, amigurumi pigs, amigurumi penguins, amigurumi panda, amigurumi llama, amigurumi bunny, amigurumi clowns, amigurumi elephants, amigurumi hippos, amigurumi monkeys will not be difficult for you…Unicorn pattern
Join our community and get this 14 cm (5.5"") tall Labubu pattern as a welcome gift!Crochet hook sets
MR: Amigurumi Magic ring
sc : Single Crochet
inc : Increase
dec : Decrease
tr : Triple Crochet/ Treble Crochet
st: StitchUnicorn pattern
dc : Double Crochet
hdc: Half Double Crochet
slst : Slip Stitch
ch : Chain
..in : make increase into same stitch as many as the number which is given in front of “inc” abbreviation (exp; 3inc, 4inc..).
FLO : Crochet into front loops only
BLO : Crochet into back loops only
Head
We start crocheting with white  yarn
1. 6 in MR
2. 6 inc (12)
3. (sc, inc) х6 (18)
4. (2 sc, inc) х6 (24)
5. (3 sc, inc) х6 (30)
Change color to black
6. (4 sc, inc) х6 (36)Amigurumi subscription box
Change color to white
7. (5 sc, inc) х6 (42)
8. (6 sc, inc) х6 (48)
9. (7 sc, inc) х6 (54)
Change color to black
10. (8 sc, inc) (60)
Change color to white
11-13. 60 sc (3 rows)
Change color to black
14. 60 sc
Change color to white
15. 60 sc
16. (9 sc, inc) х6 (66)
17. (10 sc, inc) х6 (72)
18. (17 sc, inc) х4 (76)
Change color to black
19. 76 scCrochet hook sets
Change color to white
20. 76 sc
21. (dec, 17 sc) х4 (72)
22. (10 sc, dec) х6 (66)
Change color to black
23. (9 sc, dec) х6 (60)
Change color to white
24. (8 sc, dec) х6 (54)
25. (7 sc, dec) х6 (48)
26. (6 sc, dec) х6 (42)
Change color to black
27. (5 sc, dec) х6 (36)
Change color to white
28. (4 sc, dec) х6 (30)
29. (3 sc, dec) х6 (24)
Make slst, leave a long yarn for sewing on the head.+Tiny stitch yarn
Muzzle
We crochet in pink
1. 5 in MR
2. 5 inc (10)
3. (sc, inc) х5 (15)
4. (2 sc, inc) х5 (20)
5. (3 sc, inc) х5 (25)
6. (4 sc, inc) х5 (30)
7. (5 sc, inc) х5 (35)
8. 35 sc, slst
Cut, leave the yarn for sewing.Crochet hook sets
Ears [2 parts]
We crochet in white
1. 6 in MR
2. (sc, inc) х3 (9)
3. 9 sc
4. (2 sc, inc) х3 (12)
5. 12 sc
6. (3 sc, inc) х3 (15)
7. (3 sc, dec) х3 (12)
8. (2 sc, dec) х3 (9)
Fold the two sides together, crochet 3 sc, slst.Tiny stitch yarn
Legs [2 parts]
We start crocheting with black yarn
1. 5 in MR
2. 5 inc (10)
3. (sc, inc) х5 (15)
4. (2 sc, inc) х5 (20)
5. BLO 20 sc (20)
6-7. 20Crochet hook sets
Color change to white
8-10. 20 sc (3 rows)
Color change to black
11. 20 sc (20)
Color change to white
12-14. 20 sc (3 rows)
Color change to black
15. 8 sc, 4 inc, 8 sc (24)
Color change to white
16. 24 sc
17. 4 sc, inc, 4 sc, 4 dec, 2 sc, inc, 4 sc (22)
18. 22 sc (22)
Color change to black
19. 22 sc (22)
Color change to white
20-22. 22 sc (3 rows)
Make slst, cut, hide the yarn.
Similarly, we crochet the second leg, only without slst, we do not cut the yarn.Tiny stitch yarn
23. From the second leg we make 2 ch, attach to the first leg.
Further along the leg 22 sc, 2 sc along the chain from ch, 22 sc along the leg, 2 sc along the chain from ch and crochet another 20 sc so that the marker of the beginning of the row is at the back in the middle.(48)
Color change to black
24. (7 sc, inc) х6 (54)
Color change to white
25-27. 54 sc (3 rows)
Color change to black
28. 54 sc (54)
Color change to white
29-31. 54 sc (3 rows)
Color change to black
32. 54sc (54)
Color change to white
33-35. 54 sc (3 rows)Crochet hook sets
Color change to black
36. 54 sc (54)
Color change to white
37. 54 sc (54)
38. (7 sc, dec) х6 (48)
39. 48 sc (48)
Color change to black
40. 48 sc (48)
Color change to white
41-43. 48 sc (3 rows)
Color change to black
44. (6 sc, dec) х6 (42)
Color change to white
45-46. 42 sc (2 rows)
47. (5 sc, dec) х6 (36)
Color change to black
48. (4 sc, dec) х6 (30)
Color change to white
49. (3 sc, dec) х6 (24)
Make slst. Cut the  yarn and hide.Tiny stitch yarn
Hands [2 parts]
We start crocheting with black yarn
1. 6 in MR
2. 6 inc (12)
3. (sc, inc) х6 (18)
4. BLO 18 sc (18)
5-6. 18 sc (2 rows)
Color change to white
7-9. 18 sc (3 rows)
Color change to black
10. 18 sc (18)
Color change to white
11-13. 18 sc (3 rows)
Color change to black
14. 18 sc (18)
Color change to white
15. 18 sc (8 rows)
16. dec, 7 sc, dec, 7 sc (16)
17. 16 sc (16)
Color change to black
18. 16 sc (16)
Color change to white
19-21. 16 sc (3 rows)
Color change to black
22. 16 sc (16)
Color change to white
23-25. 16 sc (3 rows)
Fold the two sides together and crochet 6 sc, slst.
Cut, leave the yarn for sewing.
We also crochet the 2nd hand.
Stuff the hands about 1/3 part, loosely.Crochet hook sets
Handbag
We crochet in pink.
1. 6 in MR
2. 6 inc (12)
3. (sc, inc) х6 (18)
4. (2 sc, inc) х6 (24)
5. (3 sc, inc) х6 (30)
6. (4 sc, inc) х6 (36)
7. BLO 36 sc
8. BLO 36 scTiny stitch yarn
Insert cut cardboard
9. BLO (4 sc, dec) х6 (30)
10. (3sc, dec) х6 (24)
11. (2 sc, dec) х6 (18)
Insert filler
12. (sc, dec) x6 (12)
13. 6 dec
The hole is tightened, the yarn is hidden.
Handbag handle: we make 50 ch, sew to the handbag, hide the yarn.Crochet hook sets
Ears for handbag [2 details]
1. 6 in MR
2. 6 inc (12)
3. (3 sc, inc) х3 (15)
4-5. 15 sc (2 rows)
6. (3 sc, dec) х3 (12)
7. dec, 4 sc, dec, 4 sc (10)
8. dec, 3 sc, dec, 3 sc (8)
9. 8 sc
Put together and crochet 3 sc, slst. Cut, leave the yarn for sewing.
Mane
We make a chain of 61 ch, from the 2nd loop from the hook we crochet single crochets to the beginning of the chain, without interrupting the yarn we collect the next chain in this order; 64, 64, 64, 61.
Cut off, leave a long yarn for sewing. This is the first row of the mane (top). Similarly, we crochet the second and third rows.
We crochet the second row: 63, 64, 64, 64, 63.
We crochet the third row: 64, 65, 65, 65, 64.Crochet hook sets
Tail
We collect a chain of 45 ch, we crochet the 2nd loop from the hook
single crochets to the beginning of the chain, without interrupting the yarn, we collect the next chain in this order: 44, 43, 43, 43. Cut off, leave a long yarn for sewing.
Bang (fringe)
We collect a chain of 35 ch, from the 2nd loop from the hook we crochet single crochets to the beginning of the chain, without interrupting the yarn we collect the next chain in this order; 35, 35, 35, 35. Cut off, leave a long yarn for sewing.Tiny stitch yarn
The zebra is crocheted using the cross stitch method. It turns out 21 cm.
More amigurumi zebra ideas:";AlwaysFreeAmigurumi
AMIGURUMI PANDA FREE CROCHET PATTERN;https://www.alwaysfreeamigurumi.com/amigurumi-panda-free-crochet-pattern/;;;"Hi amigurumi lovers…
One of the free amigurumi crochet patterns we will share today is the amigurumi panda, whose photos and design belong to lenlenlenlen.com. You can learn how to crochet these panda using the free amigurumi pattern. Thanks to @aquariwool for this cute panda.
If you don’t know how to often crochet and needles, read our shares. Start your knitting according to the rate you have according to the shape you will make. Shape your toy by increasing and decreasing the point. Once you weave the shape you want to fill the inside of your toy and look at the pictures to decorate.
Amigurumi cats, amigurumi dolls, amigurumi dogs, amigurumi unicorns, amigurumi lambs, amigurumi dinosaurs, amigurumi foxes, amigurumi bears, amigurumi giraffes, amigurumi pigs, amigurumi penguins, amigurumi panda, amigurumi llama, amigurumi bunny, amigurumi clowns, amigurumi elephants, amigurumi hippos, amigurumi monkeys will not be difficult for you…
Join our community and get this 14 cm (5.5"") tall Labubu pattern as a welcome gift!
R: round
mr = magic ring
sc = single crochet
inc = increase (2 sc in the next stitch)
dec = decrease (join the next 2 stitches into 1).
sl st = slip stitch
st = stitch
ch = chain
dc = double crochet
tr = treble crochet
hdc = half double crochet
F.O = finish off
BLO = back loop only
FLO = front loop only
F.O = finish off
[ ] = number of stitches you should have at the end of the round/row
( x 6 = repeat whatever is between the brackets the number of times stated
Yarn: white, black and green color  yarn.
 Crochet hook
Fiberfill for stuffing
Sewing needle, scissors and button

To make this cute fat panda you will start crochet from Leg. And from legs continue crochet body and head.
AMIGURUMI PANDA FREE PATTERN
Leg 1
Start with white color yarn
R 1: mr with 6 st [6]
R 2: (1 sc, inc) x 3 [9]
R3: (2 sc, inc) x 3 [12]
R 4: (3 sc, inc) x3 [15]
Stuff with fiberfill. Cut yarn and hide the tail.
Leg 2
Make the other leg, don’t cut the yarn. Join leg 1 with sl st.
R 5: 15 sc (leg 1), 12 sc (leg 2) [30]
Continue to crochet the body using the stitches of both legs.
Body Start with white color yarn
R 6: (4 sc, inc) x 6 [36]
R7-12: 36 sc (6 rounds) [36]
R 13: (4 sc, dec) x 6 [30]
R 14: 30 sc [30]
R 15: (3 sc, dec) x 6 [24]
R 16: 24 sc [24]
R 17: (2 sc, dec) x 6 [18]
R 18-21: 18 sc (4 rounds) [18]
SI st. Stuff with fiberfill.
Cut the yarn, leaving a long tail for sewing.
Start with white color yarn
R 1: mr with 6 st [6]
R 2: inc x 6 [12]
R3: (1 sc, inc) x 6 [18]
R 4: (2 sc, inc) x 6 [24]
R 5: (3 sc, inc) x 6 [30]
R 6: (4 sc, inc) x 6 [36]
R 7: (5 sc, inc) x 6 [42]
R 8: (6 sc, inc) x 6 [48]
R 9: (7 sc, inc) x 6 [54]
R 10: 54 sc [54]
R 11: (8 sc, inc) x 6 [60]
R 12-19: 60 sc (8 rounds) [60]
R 20: (8 sc, dec) x 6 [54]
R 21: 54 sc [54]
R 22: (7 sc, dec) x 6 [48]
R 23: (6 sc, dec) x 6 [42]
R 24: (5 sc, dec) x 6 [36]
R 25: (4 sc, dec) x 6 [30]
R 26: (3 sc, dec) x 6 [24]
R 27: (2 sc, dec) x 6 [18]
Sl st. Stuff with fiberfill.
Cut yarn and hide the tail.
Start with black color yarn
R 1: mr with 6 st [6]
R2: inc x 6 [12]
R 3: (1 sc, inc) x 6 [18]
R 4: (2 sc, inc) x 6 [24]
Cut the yarn, leaving a long tail for sewing.
Start with black color yarn
R 1: mr with 6 st [6]
R2: inc x 6 [12]
R 3: (1 sc, inc) x 6 [18]
R 4-5: 18 sc (2 rounds) [18]
Not to stuff with fiberfill. You fold top of ear flat and crochet sc through both sides across. (8 sc)
Cut the yarn, leaving a long tail for sewing.
Start with black color yarn
R 1: mr with 6 st [6]
R2: (1 sc, inc) x3 [9]
Change to white color
R 3-7: 9 sc (5 rounds) [9]
Sl st. Stuff with some fiberfill.
Cut the yarn, leaving a long tail for sewing.
Start with black color yarn
R 1: mr with 6 st [6]
R2: (1 sc, inc) x 3 [9]
R3: 9 sc [9]
Cut the yarn, leaving a long tail for sewing.
Start with green color yarn
Make 49 chains. From the 4th chain from hook, you crochet 39 dc.
Cut the yarn
– Pin two eyes to the head, then sew them on.
– Embroider muzzle on the head. Panda’s muzzle should be centered between the eyes.
– Pin the ears to the head, then sew them on.
– Pin the arms to the body, then sew them on.
– Sew the head to the body
– Sew the tail to the panda bear’s body.
Now with a cute fat Amigurumi Panda, your children’s imagination of your tales is lively. As always you are welcome to visit our website for more free patterns. Thank you!";AlwaysFreeAmigurumi
AMIGURUMI PLUSH BEAR FREE PATTERN;https://www.alwaysfreeamigurumi.com/amigurumi-plush-bear-free-pattern/;;;"Hi there...
One of the free amigurumi crochet patterns we will share today is the amigurumi bear, whose photos and design belong to Aleksandra Egorova. You can learn how to crochet these bear using the free amigurumi pattern. Thanks to Aleksandra Egorova (@masterskayapodarkov1) for this cute bear.
If you don’t know how to often crochet and needles, read our shares. Start your knitting according to the rate you have according to the shape you will make. Shape your  toy by increasing and decreasing the point. Once you weave the shape you want to fill the inside of your toy and look at the pictures to decorate.
Amigurumi cats, amigurumi dolls, amigurumi dogs, amigurumi unicorns, amigurumi lambs, amigurumi dinosaurs, amigurumi foxes, amigurumi bears, amigurumi giraffes, amigurumi pigs, amigurumi penguins, amigurumi panda, amigurumi llama, amigurumi bunny, amigurumi clowns, amigurumi elephants, amigurumi hippos, amigurumi monkeys will not be difficult for you…Unicorn pattern
Join our community and get this 14 cm (5.5"") tall Labubu pattern as a welcome gift!Crochet hook sets
1. Himalaya dolphin baby  yarn of dark gray color (320) – any shade of gray will do (yarn consumption, indicated by the crochet, 1.5 skeins)
2.  Yarn Himalaya dolphin baby – white color (for the muzzle)
3. Yarn YarnArt Jeans: blue color (1 skeins) and white color – for scarf and
cap, gray color – for patches.
4. 3,75 mm hook for a toy
5. 2, 75 mm hook for scarf and cap
6. Stuffing materialAmigurumi subscription box
7. Joint for toys – 25 mm (for hands and legs) – 4 pieces, 40 mm – 1 pieces (for the neck)
8. Needle and sewing thread. Black sewing thread for decoration.
9. Safety eyes size 9-10 mm
10. Decorative button for scarf (оptional)

Select the size of the eye in proportion to the size of your toy.
The size of the toy will depend on the density of your knitting, the selected yarn and the hook number.
Toy size (when crocheting number 3.75) – 29 cmUnicorn pattern
MR – magic ring
sc– single crochet
dc – double crochet
hdc – half double crochet
ch – chain
(1) – number of stitches
inc – increase
dec – decrease
1. – round indication
sl st – slip stitch
* – footnote for additional tipsTiny stitch yarn
AMIGURUMI PLUSH BEAR FREE CROCHET PATTERN
* Marker runs straight in front of the handle, perpendicular to the top
1. 6 sc in MR (6)
2. 6 inc (12)
3. (1 sc, inc) * 6 (18)
4. (2 sc, inc) * 6 (24)
5. – 8. 24 sc (24)
We fill the handles as we knit.Crochet hook sets
9. 18 sc, 3 dec (21)
10. 3 dec, 9 sc, 3 dec (15)
11. 3 dec, 9 sc (12)
12. – 19. 12 sc (12)
* If you use joints, fill your hands as tightly as possible
20. 6 dec (6)
Insert the joint between 17-18 rows. The leg of the cotter pin comes out on the inside of the handle (see photo).
** If the handles will be knitted, we fill tightly only the beginning of the handles, after row 19 we fold it in half and close the opening with 6sc.Amigurumi subscription box
* Marker goes in front
1. 6 sc in MR (6)
2. 6 inc (12)
3. (1 sc, inc) * 6 (18)
4. (2 sc, inc) * 6 (24)
5. (3 sc, inc) * 6 (30)
6. – 8. 30 sc (30)
* If you use joints, fill your legs as tightly as possible.
Insert the joint between 19-20 rows. The leg of the cotter pin comes out on the inside of the leg of the toy.
** If the legs will be knitted, we fill tightly only the beginning of the legs, after row 21 we fold it in half and close the opening with 6sc.
9. 24 sc, 3 dec (27)
10. 3 dec, 21 sc (24)
11. 18 sc, 3 dec (21)
12. 3 dec, 15 sc (18)
13. – 20. 18 sc (18)
21. (1 sc, dec) * 6 (12)
22. 6 dec (6)
Cut the thread, leaving a long tip. Tighten the remaining loops with a needle and the rest of the thread.Unicorn pattern
* The marker goes straight behind, perpendicular to the top, if necessary, tie more 1-2 sc and align the beginning of the row.
1. 6 sc in MR (6)
2. 6 inc (12)
3. (1 sc, inc) * 6 (18)
4. (2 sc, inc) * 6 (24)
5. (3 sc, inc) * 6 (30)
6. (4 sc, inc) * 6 (36)
7. (5 sc, inc) * 6 (42)
8. (6 sc, inc)* 6 (48)
9. – 14. 48 sc (48) – For tying in legs see **
We insert the legs between 11 – 12 rows (check in which row the legs will look better for your  toy). We fix the joint. The tip of the leg of the joint can be melted with a lighter and slightly flattened for a more secure attachment.
** if the legs will be tied in, then make sure that the marker goes over the body exactly from behind, in the middle of the back, without displacement. If necessary, knit another 1-2 sc and reposition the marker.
For legs in rows 11-12 – 10 sc, 6 sc (knit in the leg), 16 sc, 6 sc (knit in the leg), 10 sc (48)
15. 18 sc, 6 dec, 18 sc (42) – See *****
16. (5 sc, dec) * 6 (36)
17. – 18. 36 sc (36)
19. (4 sc, dec) * 6 (30)
20. – 24. 30 sc (30) For knitting handles see ***
We insert the handles between 21 – 22 rows (check in which row the handles will look better for your toy). We fix the joint. The tip of the joint leg can be melted with a lighter and slightly flattened for a more secure attachment.
*** If the handles will be knitted: in rows 21-23 we knit 5 sc, 6 sc (we knit a handle), 8 sc, 6 sc (we knit a handle), 5 sc (24)
25. (3 sc, dec) * 6 (24)
****if you are going to tie the head, next row, start the head pattern from the 5th row and then knit according to the scheme. But then do not forget that the eyes are inserted in 11-12 rows. Also (without the use of joints) the head can be sewn.
26. (2 sc, dec) * 6 (18)
27. (1 sc, dec) * 6 (12)
Fill as tightly as possible, insert the joint. We knit the decreases to the end, until the base of the joint is closed.Unicorn pattern
*****To tie the bear (In a dress or skirt), after the 15th row, change the color of the body to the color of the clothes, knit:
16. 36 sc (36)
17. 36 sc (36) (through back loops only)
Further according to the pattern. To give the skirt a shape in the 17th row crochet through front loops only 3 hdc in one loop. Another row of hdc. We tie one more row with simple sc.Best clothing retailers
1. 6 sc in MR (6)
2. 6 inc (12)
3. (1 sc, inc) * 6 (18)
4. (2 sc, inc) * 6 (24)
5. (3 sc, inc) * 6 (30)
6. (4 sc, inc) * 6 (36)
7. (5 sc, inc) * 6 (42)
8. (6 sc, inc) * 6 (48)
9. (7 sc, inc) * 6 (54)
We put the head on the leg of the joint, in the very center of knitting, closing the joint. Fill as you knit, more tightly.Unicorn pattern
* * When using a joints or knitting, the beginning of the row goes from the bottom of the head. When sewing on, the opposite is true. Therefore, you need to carefully monitor which row to insert the eyes
10. – 17. 54 sc (54)
We insert the eyes in rows 11-12 (there is a distance of 1 column between the eyes). If the head will be sewn on, we insert the eyes in about 14-15 rows (the beginning of the row from the top).
18. (7 sc, dec) * 6 (48)
19. (6 sc, dec) * 6 (42)
20. (5 sc, dec) * 6 (36)
21. (4 sc, dec) * 6 (30)
22. (3 sc, dec) * 6 (24)
23. (2 sc, dec) * 6 (18)
24. (1 sc, dec) * 6 (12)
25. 6 dec (6)
Cut the thread, leaving a long tip. Using a needle and the remaining thread, close the hole with a needle and the rest of the thread.Crochet hook sets
White
1. 6 sc in MR (6)
2. 6 inc (12)
3. (1 sc, inc) * 6 (18)
4. (2 sc, inc) * 6 (24)
* so that the muzzle is voluminous, knit another row of 24 sc nd fill it with filler when sewn to the head
Embroider the nose on the muzzle with the same  yarn as the cap, regular stitches from bottom to top or vice versa, in several layers for volume.
For convenience, first embroider two stripes to know what size your nose will be. Don’t embroider nose too big.Tiny stitch yarn
1. 6 sc in MR (6)
2. 6 inc (12)
3. – 4. 12 sc (12)
Fold, knit by both sides of knitting 6 sc.
* No need to stuff
1. 8 sc in MR (8)
Knit (3 sc in 1 loop, 1 sc) * 4, then knit square, in the corners we knit 3 sc.
We choose the size of the patches for the size of your  toy.
* We knit the pompon separately Blue
1. 6 sc in MR (6)
2. 6 inc (12)
3. – 5. 12 sc (12)
6. (1 sc, inc) * 6 (18)
7. – 9. 18 sc (18)
10. (2 sc, inc) * 6 (24)
11. – 13. 24 sc (24)
14. (3 sc, inc) * 6 (30)
15. – 17. 30 sc (30)
18. (4 sc, inc) * 6 (36)
19. – 21. 36 sc (36)
22. (5 sc, inc) * 6 (42)
23. – 25. 42 sc (42)
26. (6 sc, inc) * 6 (48)
27. – 29. 48 sc (48)
30. (7 sc, inc) * 6 (54)
31. – 33. 54 sc (54)
34. (8 sc, inc) * 6 (60)
35. – 37. 60 sc (60)
38. (9 sc, inc) * 6 (66)
39. – 41. 66 sc (66)
42. (10 sc, inc) * 6 (72)
43. 72 sc (72)
White
44. 72 sc (72)
Blue
45. 72 sc
White
1. 6 sc in MR (6)
2. 6 inc (12)
3. (1 sc, inc) * 6 (18)
4. (2 sc, inc) * 6 (24)
5. (3 sc, inc) * 6 (30)
6. – 9. 30 sc (30)
7. (3 sc, dec) * 6 (24)
8. (2 sc, dec) * 6 (18)
Fill with filler, sew to cap tip.
For a scarf, make a chain of 60 ch, and starting from the second loop from the hook, knit several (3-5) rows in turning rows. We start the next rows with ch1.
* We choose the length of the scarf according to the size of your toy. The larger the ch chain, the longer the scarf
Sew the muzzle right under the eyes (do not stuff). Sew the ears between the 16-22 row of the head (the beginning of the row from the bottom). Sew the tail between about 8-10 row the body.
We embroider stitches on the forehead, tummy, on the sides of the arms and legs. For this we take black sewing threads of 4-6 threads. I do not advise taking too thick threads.
Sew the cap on the side of the head. Sew a decorative button to the scarf.
Your toy is ready!";AlwaysFreeAmigurumi
CROCHET BAT AMIGURUMI FREE PATTERN;https://www.alwaysfreeamigurumi.com/crochet-bat-amigurumi-free-pattern/;"Materials
Cotton ricorumi: dark grey (080), pink (065)
 Crochet hook: 3 mm
6 mm safety eyes. You may need to use smaller/ larger eyes, depending on hook/  yarn size.
Yarn needle
Black embroidery thread
Piece of thin cardboard
Fiberfill for stuffing
Scissors

Size with the materials above will be about 9 cm.Doll making supplies";Abbreviations;"Designer: Mes Mignonneries
Instagram: @mes.mignonneries

Hello Amigurumi Lovers…
One of the free amigurumi crochet patterns we will share today is the amigurumi Lanine the bat, whose photos and design belong to Mes Mignonneries. You can learn how to crochet these bat using the free amigurumi pattern. Thanks to Mes Mignonneries for this cute bat.
Amigurumi cats, amigurumi  dolls, amigurumi dogs, amigurumi unicorns, amigurumi lambs, amigurumi dinosaurs, amigurumi foxes, amigurumi bears, amigurumi giraffes, amigurumi pigs, amigurumi birds, amigurumi penguins, amigurumi panda, amigurumi llama, amigurumi bunny, amigurumi clowns, amigurumi elephants, amigurumi hippos, amigurumi monkeys… All the amigurumi toys pattern step by step tutorials and ideas you are looking for are here… Don’t forget to visit our YouTube channel…Digital patterns
Join our community and get this 14 cm (5.5"") tall Labubu pattern as a welcome gift!Crochet hook sets
Rnd: Round
Mr: Magic ring
Ch: Chain
Sl st: Slip stitch
Sc: single crochet
Dc: Double crochet
Inc: Increase
Dec: Decrease
()*: Repeat till the end of round
(): Total number of stitches in the roundFantasy creature patterns
AMIGURUMI BAT FREE PATTERN
Head & Body
Stuff as you go along your work.
In dark greyDigital patterns
Rnd 1. MR, 6sc (6)
Rnd 2. (inc)* (12)
Rnd 3. (1sc,inc)* (18)
Rnd 4. (2sc,inc)* (24)
Rnd 5. (3sc,inc)* (30)
Rnd 6. (4sc,inc)* (36)
Rnd 7-9. 36 sc (36)
Rnd 10. (5sc,inc)* (42)
Rnd 11-14. 42 sc (42)
Insert the security eyes between rnd 10 and 11.
Embroider the cheeks in pink embroidery thread and nose with black one.Crochet hook sets
Rnd 15. (5sc,dec)* (36)
Rnd 16. (4sc,dec)* (30)
Rnd 17. (3sc,dec)* (24)
Rnd 18. (2sc,dec)* (18)
Rnd 19. (2sc,inc)* (24)
Rnd 20. 24 sc (24)
Rnd 21. (3sc,inc)* (30)
Rnd 22-24. 30 sc (30)
Rnd 25. (4sc,inc)* (36)
Rnd 26-29. 36 sc (36)
Rnd 30. (5sc,inc)* (42)
Rnd 31. 42 sc (42)
Rnd 32. Through the back loop only (5sc,dec)* (36)Soft yarn bundles
Finish to stuff.
For best stability. Draw a circle about 4 cm in diameter on a piece of thin cardboard.
Cut it out and slide it into the opening of rnd 32.

Rnd 33. (2sc,dec)* (27)
Rnd 34. (1sc,dec)* (18)
Rnd 35. (dec)* (9)

Close and fasten off.Fantasy creature patterns
Ears (Make 2)
In pink

Rnd 1. MR, 6 sc (6)
Rnd 2. (3sc,sc)* (12)
Rnd 3. sc, (3sc in same stitch, 3sc)x 2, 3sc in same stitch, 2 sc (18)
In dark grey

Rnd 4. 2 sc, (3 sc in same stitch, 5sc)x 2, 3 sc in same stitch, sc 3 (24)
Rnd 5. 3 sc, (3 sc in same stitch, 7sc)x 2, 3 sc in same stitch, 4 sc (30)

Sew the ears in side of the head, between rounds 5 and 12, leaving approx 5 stitches between them.
Wings (Make 2)
In dark grey

Rnd 1. MR, 3 ch, 15 dc, slst into ch space (16)
Rnd 2. 3 ch, dc in same ch space, (dc, dc-inc)x7, dc, slst in ch space (24)
Rnd 3. 3 ch, dc in same ch space, (2 dc, dc-inc)x7, 2dc, slst in ch space (32)
Rnd 4. 3 ch, dc in same ch space, (3 dc, dc-inc)x7, 3dc, slst in ch space (40)
Rnd 5. 3 ch, dc in same ch space, 3ch, 2dc in the same space, (4 dc, dc-inc, 2 ch, dc-inc)x7, 4 dc, slst in ch space (80)
Stitch together through the back loops only.
Sew the wings to the back of the body.
More amigurumi bat ideas:";AlwaysFreeAmigurumi
